Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Odds.Ratio,Combined.Score,Genes,database,module,overlap.n
GABAergic Neurons,5/113,0.457439048027649,0.999664443639718,0,0,1.1340811965812,0.886978094908318,MYBPC1;LGI3;CAMK2A;AQP4;MT3,PanglaoDB,turquoise,5
Foveolar Cells,5/114,0.465092062443622,0.999664443639718,0,0,1.12361797224183,0.860151928132403,LAD1;AKR1B10;MLPH;FXYD3;S100A14,PanglaoDB,turquoise,5
Pancreatic Progenitor Cells,5/114,0.465092062443622,0.999664443639718,0,0,1.12361797224183,0.860151928132403,LRRC10B;MMP15;ARHGEF16;INPP5J;MYH14,PanglaoDB,turquoise,5
Choroid Plexus Cells,5/117,0.487845269906069,0.999664443639718,0,0,1.09334935897436,0.784759148492081,TMEM178A;GPX3;MMP15;MYH14;AGT,PanglaoDB,turquoise,5
Airway Goblet Cells,5/118,0.495353731038211,0.999664443639718,0,0,1.0836169729975,0.761222679177039,EPN3;LAD1;FXYD3;QSOX1;S100A14,PanglaoDB,turquoise,5
Peritubular Myoid Cells,5/120,0.510244331107796,0.999664443639718,0,0,1.06465997770346,0.716373061260305,RASL12;HSPB6;TPM2;TPM1;MYL9,PanglaoDB,turquoise,5
Tanycytes,5/121,0.517622593506306,0.999664443639718,0,0,1.05542661361627,0.69500780383375,RASL12;TMEM178A;COL23A1;CRYM;PRDX6,PanglaoDB,turquoise,5
Goblet Cells,5/122,0.524953702847149,0.999664443639718,0,0,1.04635108481262,0.674315939701529,LAD1;FXYD3;CREB3L1;S100A14;MANF,PanglaoDB,turquoise,5
Erythroblasts,5/124,0.539467517659281,0.999664443639718,0,0,1.02865761689291,0.634859403245097,RPIA;CCND3;C11ORF21;ITGA2B;BPGM,PanglaoDB,turquoise,5
Embryonic Stem Cells,7/176,0.539831160313739,0.999664443639718,0,0,1.01399431100835,0.625126331104478,TEAD4;RBPMS;FBLIM1;SOX15;NACC1;ERBB2;CD59,PanglaoDB,turquoise,7
Luteal Cells,5/125,0.546646932102456,0.999664443639718,0,0,1.02003205128205,0.616050547682741,PKDCC;S100A16;MMP15;GPC1;DHCR7,PanglaoDB,turquoise,5
Microfold Cells,5/126,0.553772609937668,0.999664443639718,0,0,1.0115490570036,0.59782663358408,LGALS3;LAD1;RAB20;TNIP1;CTSD,PanglaoDB,turquoise,5
Glomus Cells,5/127,0.560843083930061,0.999664443639718,0,0,1.00320512820513,0.58016769127315,PKDCC;KCNJ11;GPC1;PTH1R;LARP6,PanglaoDB,turquoise,5
Trophoblast Cells,5/130,0.581709651633835,0.999664443639718,0,0,0.978974358974359,0.530392483636078,LGALS3;LAD1;TMEM40;S100A14;HOPX,PanglaoDB,turquoise,5
Adipocytes,8/210,0.584587444922705,0.999664443639718,0,0,0.969099226524969,0.520259856552339,HSPB6;GPX3;CREB3L1;COPZ2;CPT1B;MYL9;AGT;PNPLA2,PanglaoDB,turquoise,8
Bergmann Glia,5/132,0.595320879364852,0.999664443639718,0,0,0.963456491015546,0.499701262122203,CAMK2A;FAM181B;AQP4;MT3;HOPX,PanglaoDB,turquoise,5
Hepatic Stellate Cells,5/132,0.595320879364852,0.999664443639718,0,0,0.963456491015546,0.499701262122203,RASL12;DES;HSPB6;TPM2;MYL9,PanglaoDB,turquoise,5
Parathyroid Chief Cells,4/106,0.602166560809037,0.999664443639718,0,0,0.959704752579649,0.486782589394112,USP2;INPP5J;ITGA7;OGDHL,PanglaoDB,turquoise,4
Ependymal Cells,5/136,0.621784923221558,0.999664443639718,0,0,0.933842239185751,0.443725438960424,PACRG;C1ORF194;LRRC10B;AQP4;MYO16,PanglaoDB,turquoise,5
Motor Neurons,4/111,0.638425825474685,0.999664443639718,0,0,0.914619407182261,0.410435257964357,ADGRB2;FAM131C;STC2;SPSB4,PanglaoDB,turquoise,4
Satellite Cells,5/139,0.640941311839718,0.999664443639718,0,0,0.91279181017987,0.406025664634609,MESP1;S100A16;GPC1;ERBB2;ITGA7,PanglaoDB,turquoise,5
Clara Cells,4/113,0.652311750297937,0.999664443639718,0,0,0.89774342468489,0.383545335296699,FXYD3;SFTPC;CARM1;S100A14,PanglaoDB,turquoise,4
Endothelial Cells (Blood Brain Barrier),4/113,0.652311750297937,0.999664443639718,0,0,0.89774342468489,0.383545335296699,ADGRB2;GPC1;LGI3;LARP6,PanglaoDB,turquoise,4
Interneurons,11/305,0.655510676382172,0.999664443639718,0,0,0.914636397194537,0.386288165740279,ISCA1;LYNX1;CPNE5;CLDN9;TCEAL3;RAB26;AKAP8L;CAMK2A;AQP4;HPCAL4;PACSIN1,PanglaoDB,turquoise,11
Hepatoblasts,4/114,0.659119733310181,0.999664443639718,0,0,0.88953556047026,0.370802962063749,EFNA1;LAD1;ARHGEF16;S100A14,PanglaoDB,turquoise,4
Meningeal Cells,4/115,0.665837113552973,0.999664443639718,0,0,0.881475585700938,0.358505122861866,RASL12;PKDCC;PTH1R;PTGDS,PanglaoDB,turquoise,4
Neuroblasts,5/146,0.68322695789688,0.999664443639718,0,0,0.867157665030005,0.330324790251199,ADGRB2;RHBDL3;RND2;GAL3ST3;SPSB4,PanglaoDB,turquoise,5
Mesangial Cells,5/148,0.694672358078532,0.999664443639718,0,0,0.854939931863009,0.311467417166707,ADAMTSL4;TPM2;TPM1;MYL9;HOPX,PanglaoDB,turquoise,5
Neural Stem/Precursor Cells,5/152,0.71670215787509,0.999664443639718,0,0,0.831501831501832,0.276969040316494,ALDOC;RHBDL3;RND2;PRSS56;HOPX,PanglaoDB,turquoise,5
Erythroid-like And Erythroid Precursor Cells,5/153,0.722029711221081,0.999664443639718,0,0,0.825840263340263,0.268967080988058,MYL4;RBM38;C11ORF21;TMCC2;BPGM,PanglaoDB,turquoise,5
Sebocytes,4/124,0.722179576664185,0.999664443639718,0,0,0.814980793854033,0.265261130402875,LGALS3;LAD1;RAB20;S100A14,PanglaoDB,turquoise,4
Melanocytes,4/133,0.771162627933779,0.999664443639718,0,0,0.757764345055534,0.196909608988576,S100A16;GPC1;HSPB1;PTGDS,PanglaoDB,turquoise,4
Airway Epithelial Cells,3/103,0.774683997219452,0.999664443639718,0,0,0.733312020460358,0.187214616243978,FXYD3;MYH14;S100A14,PanglaoDB,turquoise,3
Salivary Mucous Cells,3/105,0.785715698714874,0.999664443639718,0,0,0.718858131487889,0.173360012781465,GSDMC;FXYD3;S100A14,PanglaoDB,turquoise,3
Alpha Cells,4/136,0.785901836935222,0.999664443639718,0,0,0.740426027237807,0.178385943896964,PKDCC;TSPAN7;PEMT;AGT,PanglaoDB,turquoise,4
Epiblast Cells,3/109,0.806437347638521,0.999664443639718,0,0,0.69158664286059,0.148780390405086,RND2;GAL3ST3;SPSB4,PanglaoDB,turquoise,3
Pancreatic Stellate Cells,3/111,0.816149698434949,0.999664443639718,0,0,0.678708439897698,0.137884700973355,MMP11;HSPB6;MYL9,PanglaoDB,turquoise,3
Retinal Progenitor Cells,3/112,0.820848848783503,0.999664443639718,0,0,0.672446561392806,0.132751907196678,RHBDL3;RND2;GAL3ST3,PanglaoDB,turquoise,3
Leydig Cells,4/145,0.82560341837195,0.999664443639718,0,0,0.692837878333833,0.132775966332213,RASL12;DHCR7;PTGDS;INHA,PanglaoDB,turquoise,4
Taste Receptor Cells,3/115,0.834336205205877,0.999664443639718,0,0,0.654331841432225,0.11851182023987,KCNH2;CACNB2;CYP46A1,PanglaoDB,turquoise,3
Platelets,6/214,0.849397063688365,0.999664443639718,0,0,0.70382393601264,0.114884138031778,ARHGAP10;C11ORF21;ALDH2;ITGA2B;AGPAT1;MYL9,PanglaoDB,turquoise,6
Podocytes,5/184,0.852829816178365,0.999664443639718,0,0,0.681707491763358,0.108524603778491,DES;S100A16;TPM1;PTH1R;EMC7,PanglaoDB,turquoise,5
Endothelial Cells,7/246,0.8534481223888,0.999664443639718,0,0,0.714373299200826,0.113207108769294,RASL12;FAM167B;FCN3;CD82;HSPB6;PALMD;PTGDS,PanglaoDB,turquoise,7
Pericytes,4/155,0.862359422753785,0.999664443639718,0,0,0.646615393747191,0.0957528323642017,RASL12;DES;HSPB6;PTH1R,PanglaoDB,turquoise,4
Acinar Cells,3/124,0.869666862046316,0.999664443639718,0,0,0.605377185009829,0.084537932023679,CTRB2;CTRB1;CEL,PanglaoDB,turquoise,3
Germ Cells,6/222,0.872243131225108,0.999664443639718,0,0,0.677471116816431,0.0926015444901745,SPINK2;SPATA24;NUPR2;TMEM53;ROPN1;FAM71E1,PanglaoDB,turquoise,6
Keratinocytes,3/127,0.879872519996092,0.999664443639718,0,0,0.590638148667602,0.0755888340771596,LAD1;FXYD3;S100A14,PanglaoDB,turquoise,3
Gamma (PP) Cells,3/128,0.883113144342569,0.999664443639718,0,0,0.585882352941177,0.0728263191161387,APOBEC2;AQP4;AGT,PanglaoDB,turquoise,3
Proximal Tubule Cells,4/164,0.889569024137779,0.999664443639718,0,0,0.609955185659411,0.0713758433170466,HPN;OSGIN1;FAH;KNG1,PanglaoDB,turquoise,4
Retinal Ganglion Cells,4/164,0.889569024137779,0.999664443639718,0,0,0.609955185659411,0.0713758433170466,CPNE5;RBPMS;CSDC2;GAL3ST3,PanglaoDB,turquoise,4
Delta Cells,3/131,0.892372328964674,0.999664443639718,0,0,0.572060821611253,0.0651416093902398,PPP1R1A;TSPAN7;AGT,PanglaoDB,turquoise,3
Pulmonary Alveolar Type II Cells,3/135,0.90369337695721,0.999664443639718,0,0,0.55460939316438,0.0561626094398665,SFTPC;TMEM176B;S100A14,PanglaoDB,turquoise,3
Enterocytes,5/203,0.904218965548747,0.999664443639718,0,0,0.615675990675991,0.0619885548388387,CBR1;FAHD1;FABP6;CTRB1;ART3,PanglaoDB,turquoise,5
Mesothelial Cells,3/144,0.925325886278777,0.999664443639718,0,0,0.518963922294172,0.0402764236339851,DES;S100A16;RASL11A,PanglaoDB,turquoise,3
Osteoclasts,3/144,0.925325886278777,0.999664443639718,0,0,0.518963922294172,0.0402764236339851,TMEM176B;PTH1R;CTSD,PanglaoDB,turquoise,3
Gamma Delta T Cells,3/146,0.929484822814415,0.999664443639718,0,0,0.511652030833617,0.037414452571153,H2AZ1;PTGDS;HOPX,PanglaoDB,turquoise,3
Photoreceptor Cells,3/149,0.93532531959004,0.999664443639718,0,0,0.501059804505483,0.0335012968656301,ROM1;TRNP1;CACNA2D3,PanglaoDB,turquoise,3
Endothelial Cells (Aorta),4/185,0.935489105666118,0.999664443639718,0,0,0.538592681149681,0.0359164723996695,HSPB6;S100A16;STXBP6;MYL9,PanglaoDB,turquoise,4
Hepatocytes,5/221,0.937716842630167,0.999664443639718,0,0,0.56383547008547,0.0362587080135181,GRB14;HPR;KNG1;MRPS18C;TM7SF2,PanglaoDB,turquoise,5
Fibroblasts,5/232,0.952597737784445,0.999664443639718,0,0,0.536202417259686,0.026039364954916,HSPB6;COL7A1;COPZ2;ENO3;MYL9,PanglaoDB,turquoise,5
Neurons,6/289,0.972586665110626,0.999664443639718,0,0,0.515256943530938,0.0143221292334779,BEX2;TCEAL3;HDAC11;AKAP8L;FAM181B;PACSIN1,PanglaoDB,turquoise,6
Hematopoietic Stem Cells,3/178,0.972724104081011,0.999664443639718,0,0,0.417391304347826,0.0115428683781399,TMEM176B;ITGA2B;CD59,PanglaoDB,turquoise,3
Epithelial Cells,4/218,0.973791898980265,0.999664443639718,0,0,0.454748884128903,0.0120770636330267,EPN3;LAD1;FXYD3;S100A14,PanglaoDB,turquoise,4
extracellular structure organization (GO:0043062),13/216,5.74539919959193e-09,3.53824748135253e-06,0,0,9.60737788139736,182.298712153697,COL15A1;ECM2;LAMA4;BGN;FGF2;HAPLN1;COMP;COL1A1;ADAMTS5;ACAN;SMOC2;COL3A1;LOX,GO_BP,pink,13
external encapsulating structure organization (GO:0045229),13/217,6.07424460318031e-09,3.53824748135253e-06,0,0,9.55979643765903,180.863779159491,COL15A1;ECM2;LAMA4;BGN;FGF2;HAPLN1;COMP;COL1A1;ADAMTS5;ACAN;SMOC2;COL3A1;LOX,GO_BP,pink,13
extracellular matrix organization (GO:0030198),14/300,3.70173383476782e-08,1.43750663916817e-05,0,0,7.36901559978483,126.097706461834,COL15A1;ECM2;LAMA4;BGN;FGF2;HAPLN1;COMP;COL1A1;ADAMTS5;ACAN;SMOC2;COL3A1;LOX;CAPN2,GO_BP,pink,14
skeletal system development (GO:0001501),9/158,2.1848698657088e-06,0.000636343348387688,0,0,8.81744966442953,114.926235873658,COMP;COL1A1;EXT1;ACAN;UCMA;FRZB;BMP6;HAPLN1;PAPSS1,GO_BP,pink,9
positive regulation of pathway-restricted SMAD protein phosphorylation (GO:0010862),5/47,2.17012483878239e-05,0.00505639087436298,0,0,16.9698526892772,182.224667018187,BMP4;INHBA;LEFTY2;BMP6;GDF7,GO_BP,pink,5
regulation of endothelial cell migration (GO:0010594),6/89,4.46259620200058e-05,0.00696422513546761,0,0,10.3577789418544,103.755888943918,BMP4;SMOC2;ABL1;VASH1;PTN;FGF2,GO_BP,pink,6
transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0007178),7/133,5.06222730757121e-05,0.00696422513546761,0,0,8.00081103000811,79.1369731875168,BMP4;COL3A1;LTBP2;INHBA;LEFTY2;BMP6;GDF7,GO_BP,pink,7
glycosaminoglycan catabolic process (GO:0006027),5/56,5.13036894541011e-05,0.00696422513546761,0,0,13.968824940048,137.980531066028,ACAN;OMD;BGN;FGF2;SLC9A1,GO_BP,pink,5
positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090100),6/92,5.38008808748571e-05,0.00696422513546761,0,0,9.99494438827098,98.2525093987599,BMP4;SLC2A10;INHBA;LEFTY2;BMP6;GDF7,GO_BP,pink,6
regulation of pathway-restricted SMAD protein phosphorylation (GO:0060393),5/58,6.08359371927248e-05,0.00708738668295244,0,0,13.4403420659699,130.469834018256,BMP4;INHBA;LEFTY2;BMP6;GDF7,GO_BP,pink,5
negative regulation of blood vessel endothelial cell migration (GO:0043537),4/34,0.000101045926483043,0.0107016822138859,0,0,18.8819047619048,173.712304544924,VASH1;AGTR2;MEOX2;FGF2,GO_BP,pink,4
embryonic skeletal system development (GO:0048706),4/35,0.000113449017123224,0.011014008745713,0,0,18.2718894009217,165.984712192804,COL1A1;PDGFRA;UCMA;SLC2A10,GO_BP,pink,4
positive regulation of bone mineralization (GO:0030501),4/36,0.000126919781385289,0.0113739650241432,0,0,17.7,158.803609052693,BMP4;TMEM119;PTN;BMP6,GO_BP,pink,4
regulation of extracellular matrix organization (GO:1903053),3/15,0.000156088890341459,0.01212290381652,0,0,35.1843971631206,308.394228399621,FAP;SLC2A10;AEBP1,GO_BP,pink,3
regulation of phospholipase C activity (GO:1900274),3/15,0.000156088890341459,0.01212290381652,0,0,35.1843971631206,308.394228399621,PDGFRA;ABL1;FGF2,GO_BP,pink,3
platelet-derived growth factor receptor signaling pathway (GO:0048008),3/16,0.000191097650379186,0.0130112136741911,0,0,32.4762684124386,278.085387984288,PDGFRA;PDGFD;ABL1,GO_BP,pink,3
positive regulation of ossification (GO:0045778),4/40,0.000192568335367784,0.0130112136741911,0,0,15.7301587301587,134.572443539711,BMP4;TMEM119;PTN;BMP6,GO_BP,pink,4
integrin-mediated signaling pathway (GO:0007229),5/75,0.000207764858511098,0.0130112136741911,0,0,10.1675231243577,86.2114819845132,COL3A1;PTPRA;ABL1;ITGBL1;PTN,GO_BP,pink,5
positive regulation of biomineral tissue development (GO:0070169),4/41,0.000212200051338739,0.0130112136741911,0,0,15.3042471042471,129.443032602095,BMP4;TMEM119;PTN;BMP6,GO_BP,pink,4
proteolysis (GO:0006508),9/287,0.000239039527067411,0.0139240524516767,0,0,4.69496402877698,39.1507493141506,ACAN;CAPN14;FAP;CPXM2;CAPN2;TASP1;CPE;VASH1;AEBP1,GO_BP,pink,9
regulation of fibroblast growth factor receptor signaling pathway (GO:0040036),3/20,0.000380895574190246,0.021130635425316,0,0,24.8297872340426,195.484549992469,SMOC2;SPRY4;FGF2,GO_BP,pink,3
regulation of SMAD protein signal transduction (GO:0060390),3/23,0.000582441559503213,0.0308429280373292,0,0,21.1021276595745,157.174591374744,BMP4;SLC2A10;BMP6,GO_BP,pink,3
positive regulation of phospholipase activity (GO:0010518),3/24,0.000662150402419533,0.0335393573399459,0,0,20.096251266464,147.104917663941,ARF4;PDGFRA;FGF2,GO_BP,pink,3
regulation of bone mineralization (GO:0030500),4/57,0.000757174306620278,0.036754502800526,0,0,10.6754716981132,76.7130543196129,BMP4;TMEM119;PTN;BMP6,GO_BP,pink,4
BMP signaling pathway (GO:0030509),4/65,0.00124140154027051,0.0498700963591431,0,0,9.27166276346604,62.0414636256165,BMP4;LEFTY2;BMP6;GDF7,GO_BP,pink,4
positive regulation of protein phosphorylation (GO:0001934),9/371,0.00149317500668972,0.0527136025088945,0,0,3.59005524861878,23.3599529659544,BMP4;PDGFD;ABL1;TMEM119;INHBA;FGF2;LEFTY2;BMP6;GDF7,GO_BP,pink,9
wound healing (GO:0042060),4/70,0.00163522762833964,0.0560305937357553,0,0,8.56709956709957,54.9662817562367,PDGFRA;COL3A1;NRG1;FGF2,GO_BP,pink,4
cellular response to BMP stimulus (GO:0071773),4/71,0.00172327845806515,0.0564517450948604,0,0,8.43880597014925,53.700567294103,BMP4;LEFTY2;BMP6;GDF7,GO_BP,pink,4
negative regulation of protein serine/threonine kinase activity (GO:0071901),4/78,0.00243372695053627,0.0746129446677567,0,0,7.63783783783784,45.9670398381286,BMP4;SLC8A3;SPRY4;ABL1,GO_BP,pink,4
negative regulation of endothelial cell migration (GO:0010596),3/38,0.00256408797651035,0.0765233909555727,0,0,12.0492401215805,71.8876032105477,VASH1;AGTR2;FGF2,GO_BP,pink,3
negative regulation of cellular component organization (GO:0051129),4/80,0.00266876562670927,0.0765233909555727,0,0,7.43609022556391,44.0673059705404,FAP;CRACD;SNX33;BMP6,GO_BP,pink,4
positive regulation of cell differentiation (GO:0045597),7/258,0.00269309787912316,0.0765233909555727,0,0,3.99089772297671,23.6143937325423,COL1A1;BMP4;FRZB;ABL1;TMEM119;PTN;BMP6,GO_BP,pink,7
sulfur compound catabolic process (GO:0044273),3/40,0.00297167308546756,0.0824285510611835,0,0,11.3967797584819,66.3136463878358,ACAN;OMD;BGN,GO_BP,pink,3
positive regulation of endothelial cell migration (GO:0010595),4/86,0.00346644789911615,0.0917820864197799,0,0,6.88989547038328,39.0286732299151,BMP4;SMOC2;ABL1;FGF2,GO_BP,pink,4
sodium ion transmembrane transport (GO:0035725),4/87,0.00361349976234772,0.0935494938474464,0,0,6.8065404475043,38.273711338289,SLC8A3;SLC6A1;SLC6A4;SLC9A1,GO_BP,pink,4
positive regulation of osteoblast differentiation (GO:0045669),3/44,0.00390092733584558,0.0951465815636666,0,0,10.2828230409964,57.0340993426495,BMP4;TMEM119;BMP6,GO_BP,pink,3
collagen fibril organization (GO:0030199),4/89,0.00392020250219399,0.0951465815636666,0,0,6.64571428571429,36.8279698202344,COL1A1;COL15A1;COL3A1;LOX,GO_BP,pink,4
neural crest cell development (GO:0014032),3/45,0.00415775740448224,0.0968757475244362,0,0,10.0374873353597,55.0333291466906,SEMA3D;SEMA3A;NRG1,GO_BP,pink,3
positive regulation of chemotaxis (GO:0050921),3/45,0.00415775740448224,0.0968757475244362,0,0,10.0374873353597,55.0333291466906,SMOC2;PTN;FGF2,GO_BP,pink,3
positive regulation of epithelial cell migration (GO:0010634),4/94,0.00476302247239386,0.104696626044129,0,0,6.27492063492064,33.5512027100955,BMP4;SMOC2;ABL1;FGF2,GO_BP,pink,4
protein maturation (GO:0051604),4/97,0.00532302205855977,0.10691932238314,0,0,6.0715821812596,31.7890683191014,CPXM2;TASP1;CPE;AEBP1,GO_BP,pink,4
regulation of MAP kinase activity (GO:0043405),4/97,0.00532302205855977,0.10691932238314,0,0,6.0715821812596,31.7890683191014,BMP4;PDGFD;SPRY4;FGF2,GO_BP,pink,4
glycosaminoglycan biosynthetic process (GO:0006024),4/97,0.00532302205855977,0.10691932238314,0,0,6.0715821812596,31.7890683191014,EXT1;ACAN;OMD;BGN,GO_BP,pink,4
regulation of cellular component movement (GO:0051270),3/50,0.00559480130854784,0.110473619058614,0,0,8.96740606609326,46.5042276009377,ABL1;NRG1;ZSWIM4,GO_BP,pink,3
cell-matrix adhesion (GO:0007160),4/100,0.00592547278929398,0.115052929992125,0,0,5.88095238095238,30.1604337017216,SGCE;COL3A1;ECM2;ITGBL1,GO_BP,pink,4
regulation of focal adhesion assembly (GO:0051893),3/54,0.00693403009509246,0.130895800540272,0,0,8.26241134751773,41.0750419617482,PTPRA;ABL1;SLC9A1,GO_BP,pink,3
regulation of blood vessel endothelial cell migration (GO:0043535),3/55,0.00729593345301826,0.130895800540272,0,0,8.10310965630115,39.8708498644119,VASH1;AGTR2;FGF2,GO_BP,pink,3
peptidyl-tyrosine modification (GO:0018212),3/56,0.00766883860767798,0.135366620877952,0,0,7.94981934965877,38.7203113829849,PDGFRA;EFEMP1;ABL1,GO_BP,pink,3
sulfur compound biosynthetic process (GO:0044272),4/113,0.0090588508622211,0.146577239645661,0,0,5.17614678899083,24.3486618027704,ACAN;OMD;BGN;PAPSS1,GO_BP,pink,4
cellular protein catabolic process (GO:0044257),3/60,0.00927193792081152,0.147969968188293,0,0,7.39044419559537,34.5929167710354,FAP;CAPN2;SPATA18,GO_BP,pink,3
positive regulation of epithelial cell proliferation (GO:0050679),4/123,0.0120917358678296,0.169721352843633,0,0,4.73877551020408,20.9227982295202,BMP4;PTN;FGF2;BMP6,GO_BP,pink,4
negative regulation of signal transduction (GO:0009968),6/267,0.0129253298653939,0.173611160777642,0,0,3.26420123271698,14.1945955991345,SLC2A10;FRZB;SPRY4;AGTR2;APCDD1;FGF2,GO_BP,pink,6
negative regulation of cell growth (GO:0030308),4/126,0.0131139760930751,0.173611160777642,0,0,4.62154566744731,20.0301335808254,FRZB;AGTR2;INHBA;RERG,GO_BP,pink,4
negative regulation of growth (GO:0045926),4/126,0.0131139760930751,0.173611160777642,0,0,4.62154566744731,20.0301335808254,FRZB;AGTR2;INHBA;RERG,GO_BP,pink,4
peptidyl-tyrosine phosphorylation (GO:0018108),3/69,0.0135476830795762,0.177337649300071,0,0,6.37975499677627,27.4427696291337,PDGFRA;EFEMP1;ABL1,GO_BP,pink,3
cell junction organization (GO:0034330),3/72,0.0151833083867556,0.192266894245329,0,0,6.10144927536232,25.5501763060018,SLC8A3;PPFIBP2;SLC6A1,GO_BP,pink,3
cytoskeleton-dependent cytokinesis (GO:0061640),3/72,0.0151833083867556,0.192266894245329,0,0,6.10144927536232,25.5501763060018,SNX33;MYH10;SEPTIN8,GO_BP,pink,3
regulation of angiogenesis (GO:0045765),5/203,0.0158642960356592,0.196967843395113,0,0,3.57132475837512,14.7984420711052,SMOC2;PTGIS;VASH1;THBS2;FGF2,GO_BP,pink,5
inorganic cation import across plasma membrane (GO:0098659),3/77,0.018146853312935,0.198861610474807,0,0,5.6877515813686,22.8036641239276,SLC8A3;SLC6A1;SLC9A1,GO_BP,pink,3
positive regulation of phosphatidylinositol 3-kinase signaling (GO:0014068),3/77,0.018146853312935,0.198861610474807,0,0,5.6877515813686,22.8036641239276,PDGFRA;PDGFD;FGF2,GO_BP,pink,3
protein modification process (GO:0036211),3/78,0.0187753797298161,0.198861610474807,0,0,5.61163120567376,22.3074060667844,LOX;ABL1;CPE,GO_BP,pink,3
negative regulation of cellular response to growth factor stimulus (GO:0090288),3/80,0.0200683672325324,0.198861610474807,0,0,5.46532191213042,21.3618144647194,SPRY4;AGTR2;FGF2,GO_BP,pink,3
skin development (GO:0043588),3/80,0.0200683672325324,0.198861610474807,0,0,5.46532191213042,21.3618144647194,COL1A1;COL3A1;SLC2A10,GO_BP,pink,3
positive regulation of cell population proliferation (GO:0008284),8/474,0.0215871860553152,0.198861610474807,0,0,2.44761423882858,9.38820471967379,BMP4;PDGFRA;PDGFD;TMEM119;NRG1;PTN;FGF2;BMP6,GO_BP,pink,8
positive regulation of cell motility (GO:2000147),5/221,0.0220116689365729,0.198861610474807,0,0,3.27071675992539,12.4816522580304,COL1A1;PDGFRA;SEMA3D;PDGFD;SEMA3A,GO_BP,pink,5
peptide metabolic process (GO:0006518),3/83,0.022097809787392,0.198861610474807,0,0,5.25957446808511,20.0509536174275,CPXM2;CPE;AEBP1,GO_BP,pink,3
regulation of osteoblast differentiation (GO:0045667),3/83,0.022097809787392,0.198861610474807,0,0,5.25957446808511,20.0509536174275,BMP4;TMEM119;BMP6,GO_BP,pink,3
vascular transport (GO:0010232),3/84,0.0227982981125629,0.198861610474807,0,0,5.19437877593906,19.6403065897356,SLC2A10;SLC6A1;SLC16A2,GO_BP,pink,3
transport across blood-brain barrier (GO:0150104),3/86,0.0242352870814882,0.198861610474807,0,0,5.06870033324789,18.8552893199909,SLC2A10;SLC6A1;SLC16A2,GO_BP,pink,3
transforming growth factor beta receptor signaling pathway (GO:0007179),3/89,0.0264807350672574,0.198861610474807,0,0,4.89114299851559,17.7613924017221,COL3A1;LTBP2;LEFTY2,GO_BP,pink,3
sodium ion transport (GO:0006814),3/90,0.0272531768304724,0.198861610474807,0,0,4.83467840547811,17.41734079169,SLC8A3;SLC6A1;SLC6A4,GO_BP,pink,3
protein complex oligomerization (GO:0051259),3/90,0.0272531768304724,0.198861610474807,0,0,4.83467840547811,17.41734079169,EHD3;LRRC8D;SLC9A1,GO_BP,pink,3
regulation of actin cytoskeleton organization (GO:0032956),3/91,0.0280375794899794,0.198861610474807,0,0,4.77949709864604,17.0829241455442,PDGFRA;ABL1;CORO2B,GO_BP,pink,3
regulation of stem cell differentiation (GO:2000736),3/91,0.0280375794899794,0.198861610474807,0,0,4.77949709864604,17.0829241455442,PDGFRA;ABL1;PTN,GO_BP,pink,3
regulation of endothelial cell proliferation (GO:0001936),3/92,0.0288339290746898,0.198861610474807,0,0,4.72555582118097,16.7577778309335,BMP4;VASH1;FGF2,GO_BP,pink,3
regulation of epithelial cell proliferation (GO:0050678),3/93,0.0296422098222019,0.198861610474807,0,0,4.67281323877069,16.4415547120335,BMP4;FGF2;BMP6,GO_BP,pink,3
visual perception (GO:0007601),3/93,0.0296422098222019,0.198861610474807,0,0,4.67281323877069,16.4415547120335,COL1A1;EFEMP1;OAT,GO_BP,pink,3
sensory perception of light stimulus (GO:0050953),3/95,0.0312944929918231,0.198861610474807,0,0,4.57076780758557,15.8345709741949,COL1A1;EFEMP1;OAT,GO_BP,pink,3
cellular protein modification process (GO:0006464),13/1025,0.0338514436193005,0.198861610474807,0,0,1.84784117309839,6.25637192183192,ARF4;GOLM1;PPM1H;PRSS23;DCLK1;PRKAG3;BMP4;B3GNT9;COL3A1;LOX;PTPRA;ABL1;CPE,GO_BP,pink,13
organic anion transport (GO:0015711),3/99,0.034741348624502,0.198861610474807,0,0,4.37943262411348,14.7141258955326,SLC2A10;LRRC8D;SLC16A2,GO_BP,pink,3
positive regulation of phosphorylation (GO:0042327),5/253,0.0363851710841268,0.198861610474807,0,0,2.84404734277094,9.42401814002757,BMP4;PDGFRA;ABL1;TMEM119;FGF2,GO_BP,pink,5
cellular response to chemical stress (GO:0062197),3/101,0.0365355213088305,0.198861610474807,0,0,4.28962223187147,14.19637739643,ABL1;LRRC8D;ETV5,GO_BP,pink,3
positive regulation of vasculature development (GO:1904018),3/102,0.037450194158868,0.198861610474807,0,0,4.24607779926929,13.947275961434,SMOC2;PTGIS;FGF2,GO_BP,pink,3
positive regulation of multicellular organismal process (GO:0051240),6/345,0.0389386689154669,0.198861610474807,0,0,2.50314223419264,8.12461761796266,COL1A1;BMP4;TMEM119;INHBA;PTN;FGF2,GO_BP,pink,6
